done,name,n_reviews,sort_by,hl,state,overall_rating,stars,url
0,Blue Tree Thermas de Lins,-1,newest,pt-br,SP,4.7,4,"https://www.google.com/maps/place/Blue+Tree+Thermas+de+Lins/@-21.691428,-49.7597883,15z/data=!4m10!3m9!1s0x0:0x8f751fa40ffc0685!5m4!1s2022-11-28!2i5!4m1!1i2!8m2!3d-21.691428!4d-49.7597883"
0,hotel Umuarama,-1,newest,pt-br,SP,4.2,3,"https://www.google.com/maps/place/Umuarama+Plaza+Hotel/@-16.6730459,-49.2593142,17z/data=!3m1!4b1!4m10!3m9!1s0x935ef3d8bd038295:0x1d2da5ce1f837af0!5m4!1s2022-11-28!2i5!4m1!1i2!8m2!3d-16.6730459!4d-49.2571255"
0,Hotel Golden Ingá,-1,newest,pt-br,PR,4.5,3,"https://www.google.com/maps/place/Hotel+Golden+Ing%C3%A1/@-23.422686,-51.9370709,15z/data=!4m10!3m9!1s0x0:0x6f384800578199cb!5m4!1s2022-11-28!2i5!4m1!1i2!8m2!3d-23.4226734!4d-51.9370706"
0,The Hill Hoteis Apart Suites,-1,newest,pt-br,SP,4.1,2,"https://www.google.com/maps/place/The+Hill+Hoteis+Apart+Suites/@-22.0180233,-47.8943027,15z/data=!4m2!3m1!1s0x0:0xe0aed4c42cfce617?sa=X&ved=2ahUKEwiEqf6umIj7AhX-BrkGHcclCH8Q_BJ6BAhVEAU"
0,Tauá Resort Caeté,-1,newest,pt-br,MG,4.7,3,"https://www.google.com/maps/place/Tau%C3%A1+Resort+Caet%C3%A9/@-19.7681922,-43.6263427,15z/data=!4m10!3m9!1s0x0:0x150658873652c8a7!5m4!1s2022-11-28!2i5!4m1!1i2!8m2!3d-19.7681922!4d-43.6263427"
0,Acqua Lokos,-1,newest,pt-br,RS,4.7,3,"https://www.google.com/maps/place/Acqua+Lokos/@-29.6258482,-49.9614108,15z/data=!4m2!3m1!1s0x0:0x33ff2485084d3a66?sa=X&ved=2ahUKEwiwlYSInIj7AhXSB7kGHb3MC4cQ_BJ6BAhiEAU"
0,Wish Hotel da Bahia,-1,newest,pt-br,BA,4.6,3,"https://www.google.com/maps/place/Wish+Hotel+da+Bahia/@-12.9878124,-38.5215719,15z/data=!4m2!3m1!1s0x0:0xe0fe346e4557f9ee?sa=X&ved=2ahUKEwjl6JjMnIj7AhVHCbkGHaHaCsEQ_BJ6BAhoEAU"
0,Salinas Premium Resort,-1,newest,pt-br,PA,4.5,0,"https://www.google.com/maps/place/Salinas+Premium+Resort/@-0.6112593,-47.3003742,15z/data=!4m2!3m1!1s0x0:0x561968f0851ddf9d?sa=X&ved=2ahUKEwj4u52U6Iv7AhUvA7kGHdXVDpUQ_BJ6BAhjEAU"
0,Hotel Soft Inn Belém Batista Campos,-1,newest,pt-br,PA,4.1,2,"https://www.google.com/maps/place/Hotel+Soft+Inn+Bel%C3%A9m+Batista+Campos/@-1.4574981,-48.4914286,15z/data=!4m10!3m9!1s0x0:0x1c79f98eaa6551f0!5m4!1s2022-11-28!2i5!4m1!1i2!8m2!3d-1.4574981!4d-48.4914286"
0,Céu Palmas Hotel,-1,newest,pt-br,TO,4.4,4,"https://www.google.com/maps/place/C%C3%A9u+Palmas+Hotel/@-10.1958674,-48.3342524,15z/data=!4m2!3m1!1s0x0:0x75bff227c9aad85a?sa=X&ved=2ahUKEwjN1pS86Iv7AhUMNrkGHeG9B8EQ_BJ6BAhzEAU"
0,Posseidon Hotel,-1,newest,pt-br,MA,4.3,3,"https://www.google.com/maps/place/Posseidon+Hotel/@-5.5256689,-47.4773761,15z/data=!4m2!3m1!1s0x0:0x5c40013cb556cc81?sa=X&ved=2ahUKEwjjzfPX6Iv7AhVBLrkGHQ9YA94Q_BJ6BAhNEAU"
0,Grand Park Hotel,-1,newest,pt-br,MS,4.6,4,"https://www.google.com/maps/place/Grand+Park+Hotel/@-20.4591627,-54.5877002,17z/data=!3m1!4b1!4m10!3m9!1s0x9486e8c031373855:0xe650034e2c6e5a83!5m4!1s2022-11-28!2i5!4m1!1i2!8m2!3d-20.4591766!4d-54.5855046"
0,Porto Marlin Hotel,-1,newest,pt-br,ES,4.1,3,"https://www.google.com/maps/place/Porto+Marlin+Hotel/@-18.5817871,-39.7319717,15z/data=!4m2!3m1!1s0x0:0x2afb1632d7723335?sa=X&ved=2ahUKEwiy1pzH6Yv7AhWeiJUCHclzCm8Q_BJ6BAhVEAU"
0,Aroso Paço Hotel,-1,newest,pt-br,ES,4.7,5,"https://www.google.com/maps/place/Aroso+Pa%C3%A7o+Hotel/@-20.379597,-41.0211451,15z/data=!4m2!3m1!1s0x0:0xfebbe61e81d2bc2d?sa=X&ved=2ahUKEwiW0eTn6Yv7AhWUAtQKHeLqAcoQ_BJ6BAhsEAU"
