done,dt_selection,name,n_reviews,sort_by,hl,n_reviews_max,google_id,url
0,2024,Pousada dos Piabas,-1,most_relevant,pt-br,670,0x7aa535c7f055591:0xc9c28a2652904cd8,"https://www.google.com/maps/place/Pousada+dos+Piabas/@-8.1129445,-35.2938835,14z/data=!4m8!1m2!2m1!1sPousada+dos+Piabas!3m4!1s0x7aa535c7f055591:0xc9c28a2652904cd8!8m2!3d-8.1129445!4d-35.2938835"
0,2024,Comfort Hotel Guarulhos Aeroporto,-1,most_relevant,pt-br,670,0x94ce8ae9e8a55555:0x58f434acfd3f8342,"https://www.google.com/maps/place/Comfort+Hotel+Guarulhos+Aeroporto/@-23.437538099999998,-46.4964381,14z/data=!4m8!1m2!2m1!1sComfort+Hotel+Guarulhos+Aeroporto!3m4!1s0x94ce8ae9e8a55555:0x58f434acfd3f8342!8m2!3d-23.437538099999998!4d-46.4964381"
0,2024,Ancona Center Hotel,-1,most_relevant,pt-br,674,0x94c9213ed6033565:0x65cb1e7c7ede4d87,"https://www.google.com/maps/place/Ancona+Center+Hotel/@-22.701946,-46.7696251,14z/data=!4m8!1m2!2m1!1sAncona+Center+Hotel!3m4!1s0x94c9213ed6033565:0x65cb1e7c7ede4d87!8m2!3d-22.701946!4d-46.7696251"
0,2024,Hotel Espadarte,-1,most_relevant,pt-br,678,0xb91d374aade773:0x2de5791a99343c30,"https://www.google.com/maps/place/Hotel+Espadarte/@-20.833070799999998,-40.6955611,14z/data=!4m8!1m2!2m1!1sHotel+Espadarte!3m4!1s0xb91d374aade773:0x2de5791a99343c30!8m2!3d-20.833070799999998!4d-40.6955611"
0,2024,Piscina na Pedra,-1,most_relevant,pt-br,684,0x94ceaa894141c54f:0xe84c9e5a30cc300,"https://www.google.com/maps/place/Piscina+na+Pedra/@-22.8016801,-46.230039999999995,14z/data=!4m8!1m2!2m1!1sPiscina+na+Pedra!3m4!1s0x94ceaa894141c54f:0xe84c9e5a30cc300!8m2!3d-22.8016801!4d-46.230039999999995"
0,2024,Pousada e Churrascaria Junata - Restaurante - Hotel,-1,most_relevant,pt-br,685,0xcaa25450566b7f:0xb8b113b13f46b898,"https://www.google.com/maps/place/Pousada+e+Churrascaria+Junata+-+Restaurante+-+Hotel/@-18.01157,-39.8621141,14z/data=!4m8!1m2!2m1!1sPousada+e+Churrascaria+Junata+-+Restaurante+-+Hotel!3m4!1s0xcaa25450566b7f:0xb8b113b13f46b898!8m2!3d-18.01157!4d-39.8621141"
0,2024,Hotel Rainha do Vale,-1,most_relevant,pt-br,688,0x7a69cca62a5cab7:0x634984d7bdf8180f,"https://www.google.com/maps/place/Hotel+Rainha+do+Vale/@-7.3088522,-38.1517605,14z/data=!4m8!1m2!2m1!1sHotel+Rainha+do+Vale!3m4!1s0x7a69cca62a5cab7:0x634984d7bdf8180f!8m2!3d-7.3088522!4d-38.1517605"
0,2024,Prado Hotel,-1,most_relevant,pt-br,688,0x94c9213819d4b977:0xaaa78ebabf7091ee,"https://www.google.com/maps/place/Prado+Hotel/@-22.706464999999998,-46.7683718,14z/data=!4m8!1m2!2m1!1sPrado+Hotel!3m4!1s0x94c9213819d4b977:0xaaa78ebabf7091ee!8m2!3d-22.706464999999998!4d-46.7683718"
0,2024,Rovi Plaza Hotel,-1,most_relevant,pt-br,700,0x94c9187050b4c4b7:0x713ea44ef9ab43a,"https://www.google.com/maps/place/Rovi+Plaza+Hotel/@-22.6087605,-46.697739299999995,14z/data=!4m8!1m2!2m1!1sRovi+Plaza+Hotel!3m4!1s0x94c9187050b4c4b7:0x713ea44ef9ab43a!8m2!3d-22.6087605!4d-46.697739299999995"
0,2024,Gaben Hotel,-1,most_relevant,pt-br,701,0x94c7579eb3e8618d:0x9166faf095517b49,"https://www.google.com/maps/place/Gaben+Hotel/@-22.3043074,-48.592642,14z/data=!4m8!1m2!2m1!1sGaben+Hotel!3m4!1s0x94c7579eb3e8618d:0x9166faf095517b49!8m2!3d-22.3043074!4d-48.592642"
